iter	Passed	Remaining
0	172	172330
1	183	91469
2	196	65228
3	206	51424
4	218	43580
5	237	39285
6	254	36057
7	267	33225
8	281	31021
9	298	29551
10	314	28285
11	329	27167
12	348	26424
13	359	25330
14	370	24351
15	383	23605
16	401	23220
17	418	22827
18	435	22479
19	452	22164
20	469	21903
21	487	21661
22	504	21420
23	521	21189
24	539	21036
25	557	20895
26	575	20755
27	594	20653
28	610	20434
29	630	20395
30	644	20136
31	664	20091
32	687	20156
33	710	20200
34	730	20133
35	749	20060
36	766	19959
37	784	19872
38	803	19809
39	815	19580
40	833	19498
41	850	19403
42	865	19266
43	883	19198
44	901	19126
45	918	19055
46	936	18983
47	953	18911
48	965	18732
49	981	18644
50	992	18467
51	1009	18408
52	1027	18353
53	1038	18184
54	1053	18094
55	1063	17922
56	1073	17763
57	1083	17590
58	1098	17526
59	1109	17385
60	1125	17317
61	1136	17189
62	1147	17060
63	1158	16946
64	1169	16817
65	1179	16694
66	1190	16583
67	1207	16547
68	1217	16424
69	1234	16395
70	1245	16299
71	1260	16249
72	1275	16201
73	1289	16140
74	1307	16126
75	1318	16034
76	1335	16011
77	1350	15963
78	1363	15898
79	1390	15987
80	1407	15964
81	1419	15886
82	1436	15866
83	1454	15860
84	1467	15796
85	1483	15761
86	1496	15704
87	1513	15684
88	1525	15616
89	1544	15617
90	1564	15623
91	1575	15550
92	1593	15538
93	1609	15515
94	1620	15439
95	1656	15598
96	1689	15729
97	1724	15872
98	1753	15957
99	1777	15993
100	1815	16159
101	1832	16135
102	1847	16086
103	1866	16084
104	1876	15994
105	1892	15964
106	1907	15916
107	1925	15900
108	1942	15878
109	1954	15817
110	1970	15778
111	1982	15720
112	2004	15735
113	2027	15759
114	2046	15749
115	2062	15717
116	2081	15705
117	2099	15691
118	2114	15654
119	2126	15593
120	2143	15570
121	2160	15545
122	2171	15481
123	2187	15455
124	2198	15387
125	2214	15358
126	2224	15291
127	2239	15256
128	2251	15199
129	2259	15120
130	2273	15083
131	2284	15025
132	2293	14951
133	2303	14885
134	2313	14821
135	2324	14765
136	2333	14696
137	2343	14637
138	2353	14577
139	2361	14505
140	2372	14456
141	2381	14389
142	2392	14336
143	2407	14310
144	2417	14256
145	2427	14200
146	2437	14142
147	2447	14089
148	2458	14039
149	2466	13974
150	2482	13956
151	2494	13916
152	2503	13857
153	2512	13804
154	2522	13750
155	2527	13672
156	2536	13619
157	2546	13572
158	2556	13522
159	2565	13467
160	2576	13426
161	2586	13379
162	2596	13333
163	2608	13296
164	2617	13248
165	2627	13201
166	2637	13156
167	2648	13114
168	2664	13102
169	2676	13067
170	2680	12995
171	2692	12959
172	2702	12918
173	2719	12908
174	2736	12900
175	2749	12873
176	2761	12838
177	2776	12820
178	2792	12805
179	2804	12775
180	2820	12760
181	2831	12727
182	2848	12715
183	2861	12689
184	2879	12683
185	2895	12670
186	2904	12628
187	2921	12617
188	2934	12591
189	2944	12554
190	2955	12520
191	2972	12510
192	2989	12499
193	3006	12491
194	3023	12483
195	3036	12455
196	3053	12445
197	3069	12434
198	3082	12407
199	3096	12384
200	3110	12363
201	3127	12357
202	3145	12348
203	3157	12319
204	3168	12286
205	3177	12246
206	3187	12212
207	3197	12173
208	3207	12139
209	3216	12100
210	3225	12060
211	3236	12029
212	3247	12000
213	3261	11978
214	3272	11948
215	3282	11915
216	3293	11882
217	3303	11851
218	3313	11818
219	3325	11790
220	3333	11751
221	3350	11740
222	3362	11716
223	3374	11690
224	3384	11657
225	3390	11610
226	3399	11576
227	3415	11563
228	3426	11535
229	3436	11504
230	3453	11496
231	3466	11475
232	3478	11451
233	3488	11420
234	3498	11389
235	3509	11361
236	3519	11332
237	3531	11306
238	3540	11274
239	3556	11262
240	3568	11238
241	3583	11222
242	3595	11201
243	3605	11171
244	3621	11161
245	3633	11136
246	3646	11117
247	3665	11113
248	3675	11085
249	3691	11074
250	3703	11050
251	3719	11040
252	3735	11028
253	3746	11002
254	3761	10989
255	3777	10977
256	3793	10966
257	3807	10949
258	3820	10931
259	3835	10916
260	3852	10906
261	3862	10881
262	3873	10855
263	3877	10811
264	3889	10788
265	3898	10756
266	3909	10733
267	3920	10707
268	3929	10679
269	3944	10666
270	3956	10644
271	3966	10615
272	3977	10593
273	3987	10564
274	3997	10539
275	4013	10528
276	4024	10504
277	4033	10475
278	4047	10460
279	4058	10435
280	4068	10409
281	4083	10397
282	4096	10379
283	4105	10351
284	4116	10326
285	4126	10300
286	4135	10274
287	4139	10234
288	4149	10209
289	4159	10184
290	4170	10161
291	4182	10141
292	4200	10136
293	4218	10129
294	4227	10104
295	4238	10080
296	4248	10057
297	4257	10030
298	4269	10010
299	4279	9984
300	4289	9962
301	4300	9938
302	4309	9912
303	4320	9892
304	4326	9859
305	4345	9855
306	4356	9833
307	4362	9801
308	4373	9779
309	4379	9747
310	4389	9725
311	4398	9699
312	4408	9677
313	4419	9655
314	4429	9632
315	4441	9612
316	4449	9587
317	4460	9566
318	4471	9545
319	4481	9522
320	4492	9502
321	4500	9476
322	4511	9456
323	4521	9433
324	4531	9410
325	4543	9392
326	4552	9368
327	4561	9345
328	4597	9376
329	4617	9375
330	4645	9388
331	4676	9409
332	4694	9402
333	4714	9400
334	4734	9397
335	4747	9382
336	4756	9358
337	4771	9344
338	4782	9325
339	4792	9302
340	4807	9290
341	4818	9271
342	4826	9245
343	4842	9233
344	4854	9217
345	4863	9192
346	4873	9170
347	4882	9147
348	4893	9127
349	4902	9105
350	4912	9082
351	4923	9064
352	4932	9040
353	4949	9032
354	4960	9013
355	4969	8990
356	4980	8969
357	4990	8949
358	5000	8928
359	5012	8910
360	5023	8891
361	5035	8874
362	5047	8857
363	5064	8849
364	5074	8829
365	5085	8809
366	5097	8792
367	5108	8774
368	5127	8767
369	5138	8749
370	5156	8741
371	5173	8733
372	5191	8726
373	5204	8710
374	5222	8704
375	5240	8697
376	5257	8688
377	5276	8682
378	5300	8685
379	5319	8678
380	5336	8670
381	5353	8660
382	5373	8657
383	5392	8650
384	5408	8639
385	5421	8623
386	5439	8616
387	5457	8608
388	5470	8591
389	5485	8580
390	5495	8559
391	5510	8547
392	5523	8531
393	5540	8522
394	5550	8501
395	5560	8481
396	5569	8459
397	5579	8439
398	5588	8417
399	5598	8397
400	5609	8378
401	5618	8357
402	5632	8344
403	5648	8332
404	5662	8319
405	5671	8297
406	5682	8279
407	5691	8258
408	5707	8247
409	5723	8235
410	5736	8220
411	5746	8200
412	5763	8192
413	5780	8182
414	5798	8173
415	5808	8154
416	5823	8141
417	5835	8124
418	5849	8111
419	5866	8101
420	5877	8082
421	5892	8070
422	5904	8054
423	5913	8033
424	5929	8022
425	5940	8004
426	5949	7983
427	5960	7965
428	5969	7945
429	5980	7927
430	5996	7916
431	6008	7899
432	6017	7879
433	6029	7863
434	6039	7844
435	6049	7825
436	6060	7807
437	6071	7789
438	6083	7773
439	6093	7755
440	6109	7744
441	6125	7733
442	6137	7717
443	6155	7707
444	6171	7697
445	6184	7682
446	6194	7663
447	6210	7652
448	6223	7637
449	6239	7626
450	6252	7610
451	6261	7591
452	6279	7582
453	6295	7570
454	6307	7555
455	6317	7536
456	6335	7527
457	6352	7517
458	6364	7501
459	6375	7484
460	6385	7465
461	6395	7448
462	6413	7438
463	6430	7427
464	6446	7417
465	6459	7402
466	6470	7385
467	6488	7375
468	6505	7365
469	6516	7348
470	6534	7338
471	6549	7326
472	6560	7309
473	6571	7291
474	6583	7276
475	6593	7258
476	6604	7241
477	6615	7224
478	6625	7206
479	6629	7181
480	6645	7170
481	6656	7153
482	6665	7134
483	6676	7117
484	6687	7101
485	6696	7082
486	6708	7066
487	6718	7049
488	6730	7033
489	6741	7016
490	6750	6998
491	6762	6981
492	6771	6963
493	6780	6945
494	6795	6933
495	6807	6917
496	6816	6898
497	6826	6881
498	6835	6862
499	6846	6846
500	6855	6827
501	6864	6810
502	6873	6791
503	6883	6773
504	6894	6757
505	6902	6738
506	6913	6722
507	6922	6704
508	6932	6687
509	6943	6671
510	6952	6652
511	6962	6636
512	6971	6618
513	6982	6602
514	6991	6584
515	7001	6567
516	7011	6550
517	7020	6532
518	7031	6517
519	7041	6499
520	7051	6483
521	7061	6465
522	7075	6453
523	7088	6439
524	7099	6422
525	7109	6406
526	7120	6391
527	7130	6374
528	7139	6356
529	7149	6340
530	7158	6322
531	7169	6307
532	7178	6289
533	7194	6278
534	7206	6263
535	7215	6246
536	7225	6229
537	7241	6218
538	7258	6207
539	7269	6192
540	7278	6175
541	7290	6160
542	7298	6142
543	7309	6127
544	7318	6110
545	7329	6094
546	7340	6079
547	7348	6061
548	7358	6045
549	7367	6028
550	7378	6012
551	7389	5997
552	7398	5980
553	7410	5965
554	7420	5949
555	7432	5935
556	7445	5921
557	7454	5904
558	7466	5890
559	7478	5875
560	7488	5860
561	7499	5844
562	7507	5827
563	7525	5817
564	7545	5809
565	7562	5799
566	7581	5789
567	7603	5783
568	7621	5773
569	7638	5762
570	7650	5747
571	7662	5733
572	7672	5717
573	7685	5703
574	7697	5689
575	7708	5674
576	7720	5660
577	7732	5645
578	7747	5633
579	7776	5631
580	7817	5637
581	7847	5636
582	7880	5636
583	7899	5627
584	7921	5619
585	7937	5607
586	7948	5592
587	7952	5572
588	7963	5556
589	7974	5541
590	7985	5526
591	7995	5510
592	8006	5495
593	8016	5479
594	8026	5463
595	8038	5448
596	8047	5432
597	8059	5418
598	8071	5403
599	8081	5387
600	8099	5376
601	8110	5362
602	8120	5346
603	8129	5330
604	8140	5314
605	8149	5298
606	8161	5283
607	8171	5268
608	8181	5252
609	8193	5238
610	8202	5222
611	8218	5210
612	8234	5198
613	8246	5184
614	8256	5168
615	8266	5152
616	8277	5138
617	8286	5122
618	8297	5107
619	8308	5092
620	8320	5078
621	8332	5063
622	8342	5048
623	8354	5034
624	8367	5020
625	8379	5006
626	8389	4991
627	8403	4978
628	8413	4962
629	8425	4948
630	8443	4937
631	8460	4926
632	8475	4914
633	8492	4902
634	8524	4900
635	8538	4886
636	8554	4875
637	8577	4866
638	8590	4852
639	8600	4837
640	8612	4823
641	8624	4809
642	8635	4794
643	8649	4781
644	8662	4767
645	8672	4752
646	8684	4738
647	8696	4724
648	8706	4708
649	8718	4694
650	8730	4680
651	8740	4665
652	8752	4651
653	8764	4637
654	8774	4621
655	8789	4608
656	8802	4595
657	8815	4581
658	8826	4567
659	8839	4553
660	8854	4541
661	8867	4527
662	8879	4513
663	8894	4500
664	8908	4487
665	8922	4474
666	8935	4461
667	8947	4446
668	8960	4433
669	8974	4420
670	8988	4407
671	9000	4392
672	9015	4380
673	9031	4368
674	9047	4356
675	9063	4343
676	9079	4331
677	9097	4320
678	9113	4308
679	9129	4296
680	9145	4283
681	9160	4271
682	9176	4259
683	9191	4246
684	9205	4233
685	9219	4220
686	9233	4206
687	9247	4193
688	9261	4180
689	9276	4167
690	9291	4155
691	9308	4142
692	9323	4130
693	9338	4117
694	9355	4105
695	9371	4093
696	9386	4080
697	9400	4067
698	9413	4053
699	9428	4040
700	9442	4027
701	9457	4014
702	9470	4001
703	9484	3987
704	9497	3974
705	9512	3961
706	9526	3947
707	9540	3934
708	9554	3921
709	9569	3908
710	9584	3895
711	9599	3882
712	9610	3868
713	9625	3855
714	9639	3842
715	9653	3829
716	9670	3816
717	9685	3803
718	9699	3790
719	9714	3777
720	9727	3764
721	9740	3750
722	9754	3737
723	9768	3723
724	9782	3710
725	9799	3698
726	9814	3685
727	9832	3673
728	9848	3661
729	9864	3648
730	9879	3635
731	9894	3622
732	9911	3610
733	9927	3597
734	9943	3585
735	9961	3572
736	9981	3561
737	9999	3549
738	10019	3538
739	10041	3527
740	10059	3516
741	10078	3504
742	10095	3492
743	10115	3480
744	10133	3468
745	10152	3456
746	10169	3444
747	10188	3432
748	10207	3420
749	10223	3407
750	10244	3396
751	10262	3384
752	10281	3372
753	10301	3361
754	10318	3348
755	10338	3336
756	10356	3324
757	10375	3312
758	10392	3299
759	10408	3286
760	10424	3274
761	10442	3261
762	10458	3248
763	10472	3235
764	10488	3221
765	10505	3209
766	10520	3195
767	10537	3183
768	10553	3170
769	10570	3157
770	10586	3144
771	10604	3131
772	10620	3118
773	10638	3106
774	10658	3094
775	10681	3083
776	10702	3071
777	10724	3060
778	10746	3048
779	10767	3036
780	10789	3025
781	10810	3013
782	10849	3006
783	10872	2995
784	10895	2983
785	10917	2972
786	10941	2961
787	10965	2950
788	10988	2938
789	11012	2927
790	11037	2916
791	11061	2904
792	11083	2893
793	11109	2882
794	11132	2870
795	11228	2877
796	11295	2876
797	11339	2870
798	11370	2860
799	11398	2849
800	11426	2838
801	11440	2824
802	11466	2813
803	11497	2802
804	11523	2791
805	11548	2779
806	11576	2768
807	11602	2757
808	11627	2745
809	11652	2733
810	11669	2719
811	11686	2705
812	11704	2692
813	11724	2678
814	11742	2665
815	11759	2651
816	11777	2637
817	11793	2623
818	11810	2610
819	11828	2596
820	11846	2582
821	11865	2569
822	11882	2555
823	11899	2541
824	11913	2527
825	11931	2513
826	11950	2499
827	11969	2486
828	11990	2473
829	12013	2460
830	12041	2448
831	12068	2436
832	12093	2424
833	12121	2412
834	12145	2400
835	12171	2387
836	12196	2375
837	12220	2362
838	12241	2349
839	12266	2336
840	12291	2323
841	12315	2311
842	12343	2298
843	12370	2286
844	12399	2274
845	12429	2262
846	12456	2250
847	12483	2237
848	12520	2226
849	12554	2215
850	12585	2203
851	12618	2191
852	12647	2179
853	12681	2168
854	12710	2155
855	12747	2144
856	12778	2132
857	12815	2120
858	12842	2108
859	12876	2096
860	12905	2083
861	12940	2071
862	12991	2062
863	13024	2050
864	13057	2037
865	13086	2024
866	13115	2011
867	13148	1999
868	13170	1985
869	13193	1971
870	13215	1957
871	13236	1942
872	13259	1928
873	13281	1914
874	13303	1900
875	13324	1886
876	13344	1871
877	13364	1856
878	13384	1842
879	13402	1827
880	13422	1813
881	13442	1798
882	13462	1783
883	13482	1769
884	13506	1755
885	13530	1740
886	13551	1726
887	13572	1711
888	13592	1697
889	13615	1682
890	13637	1668
891	13658	1653
892	13679	1639
893	13700	1624
894	13722	1609
895	13741	1594
896	13763	1580
897	13784	1565
898	13806	1551
899	13828	1536
900	13839	1520
901	13861	1505
902	13882	1491
903	13907	1476
904	13928	1462
905	13950	1447
906	13970	1432
907	13992	1417
908	14013	1402
909	14035	1388
910	14056	1373
911	14076	1358
912	14096	1343
913	14118	1328
914	14141	1313
915	14164	1298
916	14185	1283
917	14207	1269
918	14227	1254
919	14249	1239
920	14267	1223
921	14286	1208
922	14308	1193
923	14328	1178
924	14347	1163
925	14366	1148
926	14386	1132
927	14405	1117
928	14425	1102
929	14448	1087
930	14470	1072
931	14492	1057
932	14511	1042
933	14530	1026
934	14551	1011
935	14570	996
936	14589	980
937	14609	965
938	14629	950
939	14646	934
940	14665	919
941	14685	904
942	14703	888
943	14720	873
944	14738	857
945	14756	842
946	14772	826
947	14787	811
948	14801	795
949	14814	779
950	14829	764
951	14853	748
952	14882	733
953	14933	720
954	14991	706
955	15015	691
956	15043	675
957	15060	660
958	15077	644
959	15096	629
960	15114	613
961	15132	597
962	15150	582
963	15168	566
964	15187	550
965	15205	535
966	15225	519
967	15244	503
968	15263	488
969	15282	472
970	15301	457
971	15321	441
972	15339	425
973	15357	409
974	15375	394
975	15394	378
976	15412	362
977	15431	347
978	15449	331
979	15468	315
980	15487	299
981	15504	284
982	15524	268
983	15543	252
984	15561	236
985	15580	221
986	15599	205
987	15615	189
988	15634	173
989	15653	158
990	15672	142
991	15689	126
992	15705	110
993	15721	94
994	15737	79
995	15753	63
996	15770	47
997	15786	31
998	15802	15
999	15818	0
